"donor_id";"donation_id";"donation_number";"donation_date";"donation_amount"
21;"21_2";2;"2020-11-28";135
21;"21_3";3;"2020-12-08";141
21;"21_4";4;"2021-05-21";141
21;"21_5";5;"2022-02-20";152
21;"21_6";6;"2023-09-02";149
21;"21_7";7;"2024-07-04";154
21;"21_8";8;"2024-11-13";143
22;"22_1";1;"2020-10-21";5432
23;"23_1";1;"2020-09-14";1000
23;"23_2";2;"2020-10-20";274
23;"23_3";3;"2021-06-27";275
23;"23_4";4;"2022-08-06";277
23;"23_5";5;"2022-08-10";259
23;"23_6";6;"2023-12-18";266
23;"23_7";7;"2024-09-19";100
24;"24_1";1;"2020-11-28";8850
24;"24_2";2;"2022-11-24";6173
24;"24_3";3;"2023-06-26";6214
24;"24_4";4;"2024-11-08";7090
24;"24_5";5;"2024-12-04";3731
25;"25_1";1;"2020-07-06";289
25;"25_2";2;"2022-01-15";284
25;"25_3";3;"2022-11-07";290
25;"25_4";4;"2023-12-28";277
25;"25_5";5;"2024-02-05";277
26;"26_1";1;"2021-02-06";374
27;"27_1";1;"2023-03-21";296
27;"27_2";2;"2024-01-02";287
28;"28_1";1;"2021-10-10";280
28;"28_2";2;"2021-10-15";294
28;"28_3";3;"2021-11-12";280
28;"28_4";4;"2022-04-06";292
28;"28_5";5;"2022-05-20";291
28;"28_6";6;"2022-12-01";293
28;"28_7";7;"2023-11-02";291
28;"28_8";8;"2023-11-06";298
29;"29_1";1;"2021-08-23";322
29;"29_2";2;"2023-02-03";323
29;"29_3";3;"2024-09-14";250
30;"30_1";1;"2020-04-25";300
30;"30_2";2;"2020-07-03";22
30;"30_3";3;"2021-02-18";32
30;"30_4";4;"2021-04-23";23
30;"30_5";5;"2021-08-07";27
30;"30_6";6;"2023-07-27";26
30;"30_7";7;"2023-09-03";22
30;"30_8";8;"2023-11-17";34
30;"30_9";9;"2024-02-19";10
30;"30_10";10;"2024-03-07";10
31;"31_1";1;"2020-03-09";2464
31;"31_2";2;"2020-04-13";2409
31;"31_3";3;"2020-05-18";2356
31;"31_4";4;"2020-08-12";2551
31;"31_5";5;"2020-09-26";3542
31;"31_6";6;"2021-04-04";2830
31;"31_7";7;"2021-07-11";2858
31;"31_8";8;"2022-06-10";2544
31;"31_9";9;"2023-01-28";3469
31;"31_10";10;"2023-08-19";3699
32;"32_1";1;"2020-04-07";3192
32;"32_2";2;"2020-07-16";2790
32;"32_3";3;"2020-08-18";2718
32;"32_4";4;"2021-03-12";2469
32;"32_5";5;"2021-05-03";2729
32;"32_6";6;"2022-02-09";3171
32;"32_7";7;"2022-08-05";2219
32;"32_8";8;"2024-02-02";2849
32;"32_9";9;"2024-05-21";1760
32;"32_10";10;"2024-08-02";1100
33;"33_1";1;"2021-07-19";252
33;"33_2";2;"2022-01-10";247
33;"33_3";3;"2022-11-25";237
33;"33_4";4;"2023-02-28";245
33;"33_5";5;"2024-01-09";244
34;"34_1";1;"2021-09-04";270
34;"34_2";2;"2021-10-14";265
34;"34_3";3;"2022-11-01";277
34;"34_4";4;"2023-04-07";264
34;"34_5";5;"2024-04-28";275
34;"34_6";6;"2024-11-23";267
35;"35_1";1;"2021-11-05";122
35;"35_2";2;"2022-03-15";123
35;"35_3";3;"2023-11-26";113
35;"35_4";4;"2024-07-13";118
35;"35_5";5;"2024-07-17";108
35;"35_6";6;"2024-07-19";107
35;"35_7";7;"2024-12-09";112
36;"36_1";1;"2020-01-21";4288
36;"36_2";2;"2020-12-13";4535
36;"36_3";3;"2021-01-18";4426
36;"36_4";4;"2021-05-23";4834
36;"36_5";5;"2021-11-11";4699
36;"36_6";6;"2022-05-18";4834
36;"36_7";7;"2022-08-14";4082
36;"36_8";8;"2023-10-17";4575
36;"36_9";9;"2024-02-12";3959
37;"37_1";1;"2022-05-10";1619
38;"38_1";1;"2020-01-19";173
38;"38_2";2;"2021-03-19";180
38;"38_3";3;"2021-06-02";166
38;"38_4";4;"2021-12-10";167
38;"38_5";5;"2022-11-24";165
38;"38_6";6;"2022-12-11";178
38;"38_7";7;"2024-11-13";177
38;"38_8";8;"2024-12-26";184
39;"39_1";1;"2023-06-22";114
40;"40_1";1;"2020-01-15";350
40;"40_2";2;"2020-11-01";345
40;"40_3";3;"2020-11-09";349
40;"40_4";4;"2021-12-25";352
40;"40_5";5;"2022-01-13";348
40;"40_6";6;"2022-01-27";334
40;"40_7";7;"2023-01-25";352
40;"40_8";8;"2023-10-23";336
40;"40_9";9;"2024-02-05";345
40;"40_10";10;"2024-08-07";339
41;"41_1";1;"2020-07-05";8702
41;"41_2";2;"2020-10-09";8878
41;"41_3";3;"2021-04-18";9273
41;"41_4";4;"2022-12-21";9840
41;"41_5";5;"2023-06-01";8916
41;"41_6";6;"2023-11-01";9584
41;"41_7";7;"2023-11-12";8661
42;"42_1";1;"2020-05-19";3686
42;"42_2";2;"2021-11-04";3770
42;"42_3";3;"2022-06-10";4376
42;"42_4";4;"2023-04-09";3493
42;"42_5";5;"2024-04-10";3446
42;"42_6";6;"2024-08-21";3936
42;"42_7";7;"2024-10-23";3524
42;"42_8";8;"2024-11-26";3996
43;"43_1";1;"2020-01-07";319
43;"43_2";2;"2022-01-03";323
43;"43_3";3;"2022-08-13";318
43;"43_4";4;"2023-01-02";321
43;"43_5";5;"2023-08-13";327
43;"43_6";6;"2023-08-28";327
43;"43_7";7;"2024-06-22";324
43;"43_8";8;"2024-12-18";332
44;"44_1";1;"2021-05-24";388
44;"44_2";2;"2022-11-25";388
44;"44_3";3;"2023-01-19";398
45;"45_1";1;"2020-06-11";4519
45;"45_2";2;"2020-11-28";4869
46;"46_1";1;"2021-09-27";102
46;"46_2";2;"2021-10-15";110
46;"46_3";3;"2022-08-09";105
46;"46_4";4;"2023-03-22";109
47;"47_1";1;"2020-06-22";278
47;"47_2";2;"2020-06-26";277
47;"47_3";3;"2020-11-20";276
47;"47_4";4;"2021-08-04";272
47;"47_5";5;"2021-09-21";272
47;"47_6";6;"2023-10-23";276
48;"48_1";1;"2021-02-02";89
48;"48_2";2;"2021-06-28";71
48;"48_3";3;"2021-07-07";81
48;"48_4";4;"2023-05-17";73
48;"48_5";5;"2024-02-13";50
49;"49_1";1;"2024-05-25";8118
50;"50_1";1;"2021-02-06";225
50;"50_2";2;"2021-04-18";210
50;"50_3";3;"2021-07-25";220
50;"50_4";4;"2022-12-14";212
50;"50_5";5;"2023-04-12";226
50;"50_6";6;"2023-11-02";225
51;"51_1";1;"2020-01-18";335
51;"51_2";2;"2020-05-15";348
51;"51_3";3;"2020-08-16";339
51;"51_4";4;"2020-10-01";353
51;"51_5";5;"2020-11-18";338
51;"51_6";6;"2021-01-07";348
51;"51_7";7;"2021-09-20";346
51;"51_8";8;"2021-09-28";351
51;"51_9";9;"2023-06-16";351
51;"51_10";10;"2023-10-24";348
52;"52_1";1;"2021-12-21";43
52;"52_2";2;"2022-05-10";52
53;"53_1";1;"2020-10-28";190
53;"53_2";2;"2021-12-10";182
53;"53_3";3;"2022-02-23";177
53;"53_4";4;"2022-04-24";183
53;"53_5";5;"2022-07-22";175
53;"53_6";6;"2023-12-17";183
53;"53_7";7;"2023-12-19";186
53;"53_8";8;"2024-07-17";177
54;"54_1";1;"2020-02-26";28
54;"54_2";2;"2020-11-25";13
54;"54_3";3;"2021-01-09";19
54;"54_4";4;"2021-02-10";22
54;"54_5";5;"2021-02-13";32
54;"54_6";6;"2021-06-03";26
54;"54_7";7;"2022-05-05";32
54;"54_8";8;"2022-08-19";25
54;"54_9";9;"2023-04-17";12
54;"54_10";10;"2023-10-16";26
55;"55_1";1;"2024-05-02";412
56;"56_1";1;"2020-04-07";8946
56;"56_2";2;"2020-07-24";8362
56;"56_3";3;"2021-06-02";8545
56;"56_4";4;"2021-12-14";8121
56;"56_5";5;"2022-04-22";9169
56;"56_6";6;"2023-10-21";8658
56;"56_7";7;"2024-06-07";7872
57;"57_1";1;"2020-12-12";52
57;"57_2";2;"2021-04-21";59
57;"57_3";3;"2021-06-25";55
57;"57_4";4;"2021-07-05";46
57;"57_5";5;"2021-08-04";45
57;"57_6";6;"2022-04-25";47
57;"57_7";7;"2022-07-27";58
57;"57_8";8;"2022-08-10";55
57;"57_9";9;"2022-11-15";48
57;"57_10";10;"2024-07-12";48
58;"58_1";1;"2020-05-04";236
58;"58_2";2;"2020-05-15";235
58;"58_3";3;"2021-07-01";246
58;"58_4";4;"2022-04-01";242
58;"58_5";5;"2022-09-21";235
58;"58_6";6;"2022-10-08";240
58;"58_7";7;"2022-11-07";233
58;"58_8";8;"2022-12-12";240
58;"58_9";9;"2024-01-16";233
58;"58_10";10;"2024-04-12";45
59;"59_1";1;"2021-06-20";261
59;"59_2";2;"2021-07-27";269
59;"59_3";3;"2021-09-08";264
59;"59_4";4;"2022-07-17";264
59;"59_5";5;"2022-11-12";260
59;"59_6";6;"2024-03-12";100
60;"60_1";1;"2020-11-26";140
60;"60_2";2;"2021-01-26";141
60;"60_3";3;"2021-03-11";141
60;"60_4";4;"2021-05-23";130
60;"60_5";5;"2022-01-24";139
60;"60_6";6;"2022-02-01";144
60;"60_7";7;"2022-03-10";147
60;"60_8";8;"2022-09-22";142
60;"60_9";9;"2023-04-10";137
60;"60_10";10;"2023-08-10";132
61;"61_1";1;"2023-11-01";288
61;"61_2";2;"2024-11-28";297
61;"61_3";3;"2024-12-22";293
62;"62_1";1;"2020-05-08";196
62;"62_2";2;"2021-04-10";190
63;"63_1";1;"2023-04-07";218
64;"64_1";1;"2021-05-11";264
65;"65_1";1;"2022-05-19";294
65;"65_2";2;"2022-06-25";281
65;"65_3";3;"2024-05-13";298
65;"65_4";4;"2024-09-23";296
66;"66_1";1;"2020-06-07";179
66;"66_2";2;"2021-11-11";170
66;"66_3";3;"2023-02-04";167
66;"66_4";4;"2023-04-07";177
66;"66_5";5;"2023-08-12";181
66;"66_6";6;"2023-09-20";181
66;"66_7";7;"2024-05-21";174
67;"67_1";1;"2022-05-20";5234
67;"67_2";2;"2022-10-22";6595
68;"68_1";1;"2021-11-14";167
68;"68_2";2;"2022-08-17";176
68;"68_3";3;"2022-12-07";169
68;"68_4";4;"2024-11-04";168
69;"69_1";1;"2020-04-04";174
69;"69_2";2;"2021-03-03";171
69;"69_3";3;"2022-01-09";166
69;"69_4";4;"2022-10-13";165
69;"69_5";5;"2023-05-23";177
69;"69_6";6;"2023-11-19";158
69;"69_7";7;"2024-09-06";170
70;"70_1";1;"2021-08-16";200
70;"70_2";2;"2023-05-18";0
70;"70_3";3;"2024-01-28";0
70;"70_4";4;"2023-02-26";0
71;"71_1";1;"2020-04-18";160
71;"71_2";2;"2020-06-13";158
71;"71_3";3;"2021-05-07";170
71;"71_4";4;"2021-10-02";172
72;"72_1";1;"2020-02-20";5668
72;"72_2";2;"2021-02-27";4621
72;"72_3";3;"2021-06-22";5766
72;"72_4";4;"2022-01-05";5826
72;"72_5";5;"2023-08-01";4696
72;"72_6";6;"2023-09-21";5119
72;"72_7";7;"2024-01-07";4423
72;"72_8";8;"2024-03-24";3791
72;"72_9";9;"2024-05-27";2255
72;"72_10";10;"2024-06-12";2834
73;"73_1";1;"2022-07-23";161
74;"74_1";1;"2024-02-07";8252
75;"75_1";1;"2021-05-16";104
75;"75_2";2;"2021-06-06";100
75;"75_3";3;"2021-08-24";94
75;"75_4";4;"2022-08-19";98
75;"75_5";5;"2022-10-06";97
75;"75_6";6;"2023-04-25";96
75;"75_7";7;"2023-08-20";95
75;"75_8";8;"2024-04-16";102
75;"75_9";9;"2024-07-02";96
76;"76_1";1;"2020-02-28";5212
76;"76_2";2;"2021-01-01";5015
76;"76_3";3;"2022-09-17";5619
77;"77_1";1;"2021-07-02";221
77;"77_2";2;"2021-11-21";219
77;"77_3";3;"2023-03-09";207
77;"77_4";4;"2023-03-28";218
77;"77_5";5;"2023-05-01";215
77;"77_6";6;"2023-08-23";208
77;"77_7";7;"2024-03-01";226
77;"77_8";8;"2024-03-04";208
77;"77_9";9;"2024-06-28";224
77;"77_10";10;"2024-07-14";220
78;"78_1";1;"2024-04-17";335
79;"79_1";1;"2020-03-03";90
79;"79_2";2;"2020-12-04";98
79;"79_3";3;"2021-09-05";99
79;"79_4";4;"2021-12-02";93
79;"79_5";5;"2022-12-04";99
79;"79_6";6;"2023-12-10";93
80;"80_1";1;"2022-10-18";230
80;"80_2";2;"2023-02-20";229
80;"80_3";3;"2023-09-02";245
80;"80_4";4;"2024-03-13";247
80;"80_5";5;"2024-05-16";229
80;"80_6";6;"2024-09-04";245
81;"81_1";1;"2020-08-22";60
81;"81_2";2;"2021-10-23";0
81;"81_3";3;"2022-12-20";0
81;"81_4";4;"2023-06-25";0
82;"82_1";1;"2020-11-10";241
82;"82_2";2;"2021-09-18";235
82;"82_3";3;"2021-10-01";232
82;"82_4";4;"2022-01-03";234
82;"82_5";5;"2022-06-20";237
82;"82_6";6;"2024-02-21";237
83;"83_1";1;"2023-03-01";229
84;"84_1";1;"2020-06-17";8731
84;"84_2";2;"2020-12-10";8280
84;"84_3";3;"2021-01-08";8809
84;"84_4";4;"2021-03-14";9053
84;"84_5";5;"2022-02-05";9273
84;"84_6";6;"2022-08-27";8089
84;"84_7";7;"2023-06-23";8571
85;"85_1";1;"2020-01-08";266
85;"85_2";2;"2020-02-26";253
85;"85_3";3;"2020-11-07";264
85;"85_4";4;"2021-12-15";300
86;"86_1";1;"2020-03-16";23
86;"86_2";2;"2020-04-28";30
86;"86_3";3;"2020-12-26";15
86;"86_4";4;"2021-04-09";25
86;"86_5";5;"2021-10-11";26
86;"86_6";6;"2022-07-10";31
86;"86_7";7;"2023-05-10";29
86;"86_8";8;"2023-08-21";33
87;"87_1";1;"2024-05-08";12
87;"87_2";2;"2024-09-21";9
88;"88_1";1;"2020-07-08";4889
88;"88_2";2;"2020-08-10";4564
88;"88_3";3;"2020-08-22";4196
88;"88_4";4;"2020-12-22";3815
88;"88_5";5;"2021-06-19";3910
88;"88_6";6;"2023-11-11";4539
88;"88_7";7;"2023-11-14";4993
88;"88_8";8;"2024-05-19";4008
88;"88_9";9;"2024-07-04";3736
88;"88_10";10;"2024-08-08";4390
89;"89_1";1;"2020-01-12";6749
89;"89_2";2;"2020-02-12";6286
89;"89_3";3;"2020-02-25";6147
89;"89_4";4;"2020-06-28";5965
89;"89_5";5;"2021-08-19";6153
89;"89_6";6;"2023-02-23";5389
89;"89_7";7;"2023-06-19";6183
89;"89_8";8;"2023-08-09";6781
89;"89_9";9;"2023-12-25";6264
90;"90_1";1;"2020-07-03";4492
90;"90_2";2;"2020-07-23";4588
90;"90_3";3;"2021-03-02";4291
90;"90_4";4;"2021-07-06";4271
90;"90_5";5;"2022-05-10";4183
90;"90_6";6;"2022-06-05";3978
90;"90_7";7;"2023-03-03";4184
90;"90_8";8;"2023-04-15";4779
90;"90_9";9;"2023-11-09";3680
91;"91_1";1;"2022-06-01";248
91;"91_2";2;"2022-07-27";240
91;"91_3";3;"2024-02-08";247
92;"92_1";1;"2020-09-03";130
92;"92_2";2;"2020-11-08";148
92;"92_3";3;"2023-12-03";142
92;"92_4";4;"2023-12-08";141
92;"92_5";5;"2024-10-08";137
93;"93_1";1;"2020-04-05";2701
93;"93_2";2;"2021-01-26";1709
93;"93_3";3;"2021-07-13";2985
93;"93_4";4;"2022-05-01";2648
93;"93_5";5;"2022-06-05";2778
93;"93_6";6;"2024-03-12";2807
94;"94_1";1;"2020-03-01";157
94;"94_2";2;"2020-05-27";147
94;"94_3";3;"2021-04-05";140
95;"95_1";1;"2020-09-05";190
95;"95_2";2;"2022-03-23";196
95;"95_3";3;"2022-06-15";195
95;"95_4";4;"2022-11-07";187
95;"95_5";5;"2022-11-12";195
95;"95_6";6;"2023-02-27";186
95;"95_7";7;"2023-03-05";184
95;"95_8";8;"2024-02-20";196
96;"96_1";1;"2020-05-06";5476
96;"96_2";2;"2020-08-02";5434
96;"96_3";3;"2020-12-28";4907
96;"96_4";4;"2023-05-26";5739
96;"96_5";5;"2023-08-26";5338
96;"96_6";6;"2023-09-20";4597
96;"96_7";7;"2024-04-09";3729
97;"97_1";1;"2021-05-06";237
97;"97_2";2;"2023-03-26";243
97;"97_3";3;"2024-02-22";235
97;"97_4";4;"2024-08-25";200
98;"98_1";1;"2020-08-07";303
98;"98_2";2;"2022-01-25";302
98;"98_3";3;"2023-04-06";294
98;"98_4";4;"2023-09-13";312
98;"98_5";5;"2024-02-24";297
99;"99_1";1;"2020-01-24";119
99;"99_2";2;"2020-10-10";126
99;"99_3";3;"2021-02-10";118
99;"99_4";4;"2022-04-05";111
99;"99_5";5;"2022-11-18";121
99;"99_6";6;"2022-12-12";110
99;"99_7";7;"2023-03-06";114
99;"99_8";8;"2023-11-20";107
100;"100_1";1;"2020-01-21";248
100;"100_2";2;"2020-08-04";247
100;"100_3";3;"2020-08-26";248
100;"100_4";4;"2022-03-25";244
100;"100_5";5;"2022-06-09";239
100;"100_6";6;"2022-08-13";251
100;"100_7";7;"2023-03-28";244
100;"100_8";8;"2023-05-27";244
100;"100_9";9;"2023-09-14";249
101;"101_1";1;"2020-11-15";5001
101;"101_2";2;"2021-07-11";5365
101;"101_3";3;"2024-08-24";5983
102;"102_1";1;"2024-12-18";347
103;"103_1";1;"2020-02-21";351
103;"103_2";2;"2020-04-20";337
103;"103_3";3;"2021-05-07";352
103;"103_4";4;"2022-12-17";336
103;"103_5";5;"2023-03-06";346
103;"103_6";6;"2024-06-15";355
103;"103_7";7;"2024-07-14";335
103;"103_8";8;"2024-11-28";355
103;"103_9";9;"2024-12-09";337
104;"104_1";1;"2020-01-03";3010
104;"104_2";2;"2021-11-19";2905
104;"104_3";3;"2022-01-28";2397
104;"104_4";4;"2022-08-15";1934
105;"105_1";1;"2021-08-09";3854
105;"105_2";2;"2021-12-18";3823
105;"105_3";3;"2022-06-14";2583
105;"105_4";4;"2022-12-04";3105
105;"105_5";5;"2023-02-07";3572
105;"105_6";6;"2023-10-15";3317
105;"105_7";7;"2023-11-26";3673
105;"105_8";8;"2024-02-05";3435
105;"105_9";9;"2024-05-03";3757
105;"105_10";10;"2024-08-05";3813
106;"106_1";1;"2022-02-24";1706
106;"106_2";2;"2024-09-20";2202
107;"107_1";1;"2022-04-03";9220
107;"107_2";2;"2022-05-09";8177
107;"107_3";3;"2022-05-10";9281
107;"107_4";4;"2023-07-26";8028
107;"107_5";5;"2023-08-25";8112
107;"107_6";6;"2023-12-26";8562
108;"108_1";1;"2023-04-28";7253
108;"108_2";2;"2024-04-04";7655
109;"109_1";1;"2020-11-20";6691
109;"109_2";2;"2021-12-12";7155
109;"109_3";3;"2022-01-22";6738
110;"110_1";1;"2020-06-09";8940
110;"110_2";2;"2020-11-28";7605
110;"110_3";3;"2024-01-13";5635
110;"110_4";4;"2024-02-12";5620
110;"110_5";5;"2024-02-17";6063
110;"110_6";6;"2024-03-03";5481
110;"110_7";7;"2024-07-18";4533
110;"110_8";8;"2024-08-13";3274
110;"110_9";9;"2024-11-16";2900
111;"111_1";1;"2020-12-11";241
111;"111_2";2;"2021-02-22";253
111;"111_3";3;"2021-03-12";251
111;"111_4";4;"2022-03-23";242
111;"111_5";5;"2022-10-07";251
111;"111_6";6;"2023-05-27";238
111;"111_7";7;"2023-08-13";249
111;"111_8";8;"2023-12-17";236
112;"112_1";1;"2020-07-16";219
112;"112_2";2;"2023-03-10";210
113;"113_1";1;"2020-01-16";7935
113;"113_2";2;"2020-01-19";9269
113;"113_3";3;"2020-06-07";8371
113;"113_4";4;"2021-10-05";8820
113;"113_5";5;"2022-10-05";8152
113;"113_6";6;"2023-09-04";8291
113;"113_7";7;"2023-10-28";7971
113;"113_8";8;"2024-02-04";8918
113;"113_9";9;"2024-02-23";8693
113;"113_10";10;"2024-10-10";8236
114;"114_1";1;"2020-03-02";4571
114;"114_2";2;"2022-06-26";4373
114;"114_3";3;"2024-03-19";4144
114;"114_4";4;"2024-03-23";4008
114;"114_5";5;"2024-08-20";5352
115;"115_1";1;"2020-02-21";273
115;"115_2";2;"2020-11-24";274
115;"115_3";3;"2021-11-06";290
115;"115_4";4;"2022-07-20";276
115;"115_5";5;"2022-08-01";292
115;"115_6";6;"2022-08-09";292
116;"116_1";1;"2020-05-26";137
116;"116_2";2;"2021-01-25";125
116;"116_3";3;"2022-03-07";138
116;"116_4";4;"2023-02-08";124
117;"117_1";1;"2020-03-03";393
117;"117_2";2;"2020-04-15";381
117;"117_3";3;"2020-04-20";380
118;"118_1";1;"2020-09-05";241
118;"118_2";2;"2020-10-23";227
118;"118_3";3;"2021-06-27";243
118;"118_4";4;"2022-02-23";242
118;"118_5";5;"2022-05-03";234
118;"118_6";6;"2023-05-08";231
118;"118_7";7;"2023-07-04";235
118;"118_8";8;"2023-07-12";237
118;"118_9";9;"2023-09-25";236
118;"118_10";10;"2023-11-03";232
119;"119_1";1;"2024-03-04";7630
119;"119_2";2;"2024-09-27";8140
120;"120_1";1;"2021-01-23";310
120;"120_2";2;"2021-03-09";322
120;"120_3";3;"2021-07-23";314
120;"120_4";4;"2021-11-12";315
120;"120_5";5;"2022-01-23";319
120;"120_6";6;"2022-08-13";321
120;"120_7";7;"2022-10-13";312
120;"120_8";8;"2023-09-26";314
120;"120_9";9;"2024-03-15";313
121;"121_1";1;"2020-11-19";6844
121;"121_2";2;"2021-05-17";6808
121;"121_3";3;"2022-06-14";6481
121;"121_4";4;"2024-01-04";5540
122;"122_1";1;"2024-11-25";5553
123;"123_1";1;"2020-01-18";203
123;"123_2";2;"2020-08-24";193
123;"123_3";3;"2021-06-15";185
123;"123_4";4;"2022-05-09";201
123;"123_5";5;"2022-09-17";203
123;"123_6";6;"2022-11-25";192
124;"124_1";1;"2020-08-26";122
124;"124_2";2;"2021-01-22";105
124;"124_3";3;"2021-08-17";107
124;"124_4";4;"2022-10-24";118
125;"125_1";1;"2020-07-22";265
125;"125_2";2;"2021-01-12";272
125;"125_3";3;"2022-05-17";271
125;"125_4";4;"2022-10-20";278
125;"125_5";5;"2023-01-03";262
125;"125_6";6;"2023-01-23";269
125;"125_7";7;"2023-03-05";270
126;"126_1";1;"2020-12-17";94
126;"126_2";2;"2021-09-28";102
126;"126_3";3;"2023-07-18";104
126;"126_4";4;"2023-08-11";106
126;"126_5";5;"2024-05-19";97
127;"127_1";1;"2020-04-21";1706
127;"127_2";2;"2020-06-04";1989
127;"127_3";3;"2020-09-14";543
127;"127_4";4;"2022-02-11";1531
127;"127_5";5;"2023-09-01";1964
128;"128_1";1;"2020-05-11";394
128;"128_2";2;"2020-08-13";405
128;"128_3";3;"2021-08-15";395
128;"128_4";4;"2021-11-27";409
128;"128_5";5;"2022-08-23";404
128;"128_6";6;"2023-06-27";411
129;"129_1";1;"2020-02-01";320
129;"129_2";2;"2021-03-03";307
129;"129_3";3;"2021-08-25";317
129;"129_4";4;"2022-02-27";320
129;"129_5";5;"2022-08-21";303
129;"129_6";6;"2023-05-28";314
129;"129_7";7;"2024-06-25";307
130;"130_1";1;"2022-09-14";43
130;"130_2";2;"2023-06-20";45
131;"131_1";1;"2021-12-19";9622
131;"131_2";2;"2022-07-06";9114
131;"131_3";3;"2024-01-26";9512
132;"132_1";1;"2023-04-03";1513
133;"133_1";1;"2020-05-24";3906
133;"133_2";2;"2020-09-16";4703
133;"133_3";3;"2021-03-16";3575
133;"133_4";4;"2021-07-28";4762
133;"133_5";5;"2022-05-05";3847
133;"133_6";6;"2023-01-02";4420
133;"133_7";7;"2023-08-11";3408
133;"133_8";8;"2024-03-25";4437
133;"133_9";9;"2024-07-02";3573
133;"133_10";10;"2024-08-14";2763
134;"134_1";1;"2020-06-02";9835
134;"134_2";2;"2020-07-05";9680
134;"134_3";3;"2024-08-20";10123
135;"135_1";1;"2023-10-03";394
136;"136_1";1;"2020-03-01";157
136;"136_2";2;"2020-05-27";147
136;"136_3";3;"2021-04-05";140
137;"137_1";1;"2021-05-12";3731
137;"137_2";2;"2024-01-09";4124
137;"137_3";3;"2024-05-22";3764
138;"138_1";1;"2020-04-05";2637
138;"138_2";2;"2023-08-28";2756
138;"138_3";3;"2024-02-22";2344
139;"139_1";1;"2022-08-12";8524
140;"140_1";1;"2020-10-01";227
140;"140_2";2;"2021-03-02";219
140;"140_3";3;"2023-02-20";237
140;"140_4";4;"2023-05-07";224
140;"140_5";5;"2024-02-05";225
