donor_id;donor_type;acquisition_channel;age;gender;location_id;city;country
53;Individual;Direct Mail;25;Female;496;Nysa; Poland
54;Individual;Online Event;33;Male;395;Legionowo; Poland
55;Individual;Direct Mail;48;Male;707;Gliwice; Poland
56;Organization;Direct Mail;;;695;Czerwionka-Leszczyny; Poland
57;Individual;Online Event;60;Male;426;Nowy Dwór Mazowiecki; Poland
58;Individual;Direct Mail;26;Male;798;Szczytno; Poland
59;Individual;Social Media;18;Male;182;Lubartów; Poland
60;Individual;Online Event;87;Female;578;Suwa³ki; Poland
61;Individual;Partnership;30;Male;790;I³awa; Poland
62;Individual;Direct Mail;22;Male;167;Kraœnik; Poland
63;Individual;Direct Mail;40;Male;624;Tczew; Poland
64;Individual;Social Media;27;Male;675;Zawiercie; Poland
65;Individual;Social Media;28;Male;797;Kêtrzyn; Poland
66;Individual;Direct Mail;59;Male;390;Pruszków; Poland
67;Organization;Social Media;;;842;Ostrów Wielkopolski; Poland
68;Individual;Online Event;38;Female;313;Nowy S¹cz; Poland
69;Individual;Direct Mail;75;Female;22;Œwidnica; Poland
70;Individual;Online Event;48;Male;790;I³awa; Poland
71;Individual;Direct Mail;33;Male;337;Nowy Targ; Poland
72;Organization;Direct Mail;;;512;Opole; Poland
73;Individual;Social Media;29;Female;415;Sochaczew; Poland
74;Organization;Social Media;;;829;Kalisz; Poland
75;Individual;Social Media;58;Male;59;Œwiebodzice; Poland
76;Organization;Direct Mail;;;591;Zambrów; Poland
77;Individual;Online Event;47;Female;797;Kêtrzyn; Poland
78;Individual;Social Media;39;Male;58;K³odzko; Poland
79;Individual;Direct Mail;65;Female;691;CzeladŸ; Poland
80;Individual;Partnership;60;Male;864;Luboñ; Poland
81;Individual;Online Event;27;Male;663;Siemianowice Œl¹skie; Poland
82;Individual;Direct Mail;46;Female;580;£om¿a; Poland
83;Individual;Social Media;65;Female;335;Oœwiêcim; Poland
84;Organization;Partnership;;;883;Œrem; Poland
85;Individual;Partnership;65;Female;692;¯ywiec; Poland
86;Individual;Online Event;31;Male;502;Kluczbork; Poland
87;Individual;Social Media;37;Female;664;¯ory; Poland
88;Organization;Partnership;;;502;Kluczbork; Poland
89;Organization;Partnership;;;790;I³awa; Poland
90;Organization;Direct Mail;;;138;W³oc³awek; Poland
91;Individual;Social Media;18;Male;542;Jaros³aw; Poland
92;Individual;Direct Mail;57;Female;962;Szczecin; Poland
93;Organization;Direct Mail;;;502;Kluczbork; Poland
94;Individual;Online Event;48;Female;716;Rybnik; Poland
95;Individual;Partnership;56;Female;411;Miñsk Mazowiecki; Poland
96;Organization;Direct Mail;;;512;Opole; Poland
97;Individual;Social Media;43;Female;158;Bia³a Podlaska; Poland
98;Individual;Direct Mail;65;Female;336;Chrzanów; Poland
99;Individual;Direct Mail;25;Female;48;O³awa; Poland
100;Individual;Partnership;43;Male;972;Police; Poland
101;Organization;Direct Mail;;;412;¯yrardów; Poland
102;Individual;In-Person Event;27;Female;796;Gi¿ycko; Poland
103;Individual;Partnership;82;Female;272;Zduñska Wola; Poland
104;Organization;Direct Mail;;;883;Œrem; Poland
105;Organization;Direct Mail;;;59;Œwiebodzice; Poland
106;Organization;Direct Mail;;;62;Nowa Ruda; Poland
107;Organization;Social Media;;;113;Bydgoszcz; Poland
108;Organization;Social Media;;;750;Sandomierz; Poland
109;Organization;Direct Mail;;;759;Kielce; Poland
110;Organization;Partnership;;;972;Police; Poland
111;Individual;Online Event;66;Female;225;¯agañ; Poland
112;Individual;Online Event;81;Female;536;Dêbica; Poland
113;Organization;Partnership;;;684;Knurów; Poland
114;Organization;Direct Mail;;;125;Toruñ; Poland
115;Individual;Direct Mail;44;Female;138;W³oc³awek; Poland
116;Individual;Online Event;83;Male;402;Otwock; Poland
117;Individual;Direct Mail;90;Male;644;Gdynia; Poland
118;Individual;Online Event;20;Female;885;W¹growiec; Poland
119;Organization;Partnership;;;528;Mielec; Poland
120;Individual;Partnership;89;Female;279;£owicz; Poland
121;Organization;Direct Mail;;;61;Jawor; Poland
122;Organization;Social Media;;;791;Ostróda; Poland
123;Individual;Direct Mail;44;Female;644;Gdynia; Poland
124;Individual;Online Event;46;Male;335;Oœwiêcim; Poland
125;Individual;Online Event;82;Male;635;Malbork; Poland
126;Individual;Direct Mail;41;Male;709;Bielsko-Bia³a; Poland
127;Organization;Direct Mail;;;847;Poznañ; Poland
128;Individual;Direct Mail;30;Male;349;Skawina; Poland
129;Individual;Partnership;36;Female;720;Tychy; Poland
130;Individual;In-Person Event;49;Male;759;Kielce; Poland
131;Organization;Partnership;;;158;Bia³a Podlaska; Poland
132;Organization;Direct Mail;;;259;Pabianice; Poland
133;Organization;Direct Mail;;;512;Opole; Poland
134;Organization;Partnership;;;60;Polkowice; Poland
135;Individual;Direct Mail;78;Female;759;Kielce; Poland
136;Individual;Online Event;22;Female;403;Ciechanów; Poland
137;Organization;Direct Mail;;;635;Malbork; Poland
138;Organization;Direct Mail;;;468;Warszawa; Poland
139;Organization;Direct Mail;;;166;Lublin; Poland
140;Individual;Partnership;90;Female;691;CzeladŸ; Poland
141;Individual;Partnership;83;Male;544;Jas³o; Poland
142;Individual;Partnership;21;Male;888;Koœcian; Poland
143;Organization;Direct Mail;;;657;Jaworzno; Poland
144;Individual;Online Event;49;Female;635;Malbork; Poland
145;Organization;Direct Mail;;;696;Pszczyna; Poland
146;Individual;Online Event;62;Female;534;Krosno; Poland
147;Individual;Online Event;84;Male;759;Kielce; Poland
148;Individual;Direct Mail;73;Male;693;Myszków; Poland
149;Individual;Direct Mail;79;Male;887;Œroda Wielkopolska; Poland
150;Individual;Online Event;71;Male;46;Boles³awiec; Poland
151;Individual;Direct Mail;59;Female;57;Bielawa; Poland
152;Individual;Direct Mail;32;Male;48;O³awa; Poland
153;Individual;Social Media;27;Male;624;Tczew; Poland
154;Individual;Partnership;76;Female;888;Koœcian; Poland
155;Individual;Online Event;80;Female;156;Zamoœæ; Poland
156;Individual;Direct Mail;24;Female;56;Zgorzelec; Poland
157;Individual;Social Media;50;Male;723;Chorzów; Poland
158;Individual;Direct Mail;50;Male;22;Œwidnica; Poland
159;Organization;Direct Mail;;;59;Œwiebodzice; Poland
160;Organization;Direct Mail;;;395;Legionowo; Poland
161;Individual;Online Event;81;Male;797;Kêtrzyn; Poland
162;Individual;Partnership;18;Male;629;Wejherowo; Poland
163;Organization;Direct Mail;;;166;Lublin; Poland
164;Individual;Online Event;44;Female;845;Leszno; Poland
165;Individual;Online Event;87;Male;669;Bêdzin; Poland
166;Individual;Online Event;55;Male;431;Ostrów Mazowiecka; Poland
167;Organization;Direct Mail;;;700;Czêstochowa; Poland
168;Organization;Direct Mail;;;883;Œrem; Poland
169;Individual;Online Event;56;Male;257;Piotrków Trybunalski; Poland
170;Individual;Partnership;46;Male;48;O³awa; Poland
171;Organization;In-Person Event;;;165;Œwidnik; Poland
172;Individual;Online Event;56;Female;62;Nowa Ruda; Poland
173;Individual;Online Event;49;Female;589;Bielsk Podlaski; Poland
174;Individual;Direct Mail;40;Male;534;Krosno; Poland
175;Individual;Online Event;89;Non-binary;658;Jastrzêbie-Zdrój; Poland
176;Individual;Partnership;32;Female;709;Bielsko-Bia³a; Poland
177;Individual;Direct Mail;38;Male;750;Sandomierz; Poland
178;Individual;Direct Mail;37;Male;677;Wodzis³aw Œl¹ski; Poland
179;Individual;Direct Mail;23;Non-binary;644;Gdynia; Poland
180;Organization;In-Person Event;;;13;Lubin; Poland
181;Individual;Social Media;49;Female;411;Miñsk Mazowiecki; Poland
182;Individual;Direct Mail;37;Male;57;Bielawa; Poland
183;Individual;Online Event;24;Female;886;Turek; Poland
184;Individual;Online Event;54;Male;403;Ciechanów; Poland
185;Individual;Partnership;66;Male;722;D¹browa Górnicza; Poland
186;Individual;Online Event;83;Female;400;Z¹bki; Poland
187;Individual;Online Event;19;Female;963;Œwinoujœcie; Poland
188;Individual;Direct Mail;40;Female;700;Czêstochowa; Poland
189;Individual;Online Event;25;Male;530;Stalowa Wola; Poland
190;Individual;Online Event;63;Female;46;Boles³awiec; Poland
191;Individual;Online Event;28;Female;887;Œroda Wielkopolska; Poland
192;Organization;In-Person Event;;;401;Marki; Poland
193;Individual;Online Event;25;Male;684;Knurów; Poland
194;Organization;In-Person Event;;;403;Ciechanów; Poland
195;Individual;Partnership;78;Male;973;Wa³cz; Poland
196;Individual;Online Event;30;Male;312;Kraków; Poland
197;Individual;Partnership;49;Female;974;Bia³ogard; Poland
198;Individual;Online Event;77;Male;414;Grodzisk Mazowiecki; Poland
199;Individual;Online Event;90;Female;693;Myszków; Poland
200;Organization;Online Event;;;156;Zamoœæ; Poland
201;Individual;Direct Mail;51;Male;166;Lublin; Poland
202;Individual;Online Event;89;Female;428;Wyszków; Poland
203;Organization;Online Event;;;797;Kêtrzyn; Poland
204;Individual;Direct Mail;53;Male;113;Bydgoszcz; Poland
205;Individual;Online Event;52;Female;657;Jaworzno; Poland
206;Individual;Online Event;18;Male;964;Szczecinek; Poland
207;Individual;Online Event;59;Female;415;Sochaczew; Poland
208;Organization;Direct Mail;;;886;Turek; Poland
209;Individual;Online Event;45;Female;658;Jastrzêbie-Zdrój; Poland
210;Individual;Partnership;84;Male;59;Œwiebodzice; Poland
211;Organization;Direct Mail;;;530;Stalowa Wola; Poland
212;Individual;Partnership;84;Male;720;Tychy; Poland
213;Individual;Online Event;28;Female;957;Ko³obrzeg; Poland
214;Individual;Social Media;31;Female;281;Wieluñ; Poland
215;Individual;Online Event;57;Male;496;Nysa; Poland
216;Individual;Online Event;85;Female;713;Zabrze; Poland
217;Individual;Direct Mail;48;Male;396;Piaseczno; Poland
218;Individual;Partnership;70;Male;554;Rzeszów; Poland
219;Individual;Online Event;90;Female;496;Nysa; Poland
220;Individual;Online Event;84;Male;669;Bêdzin; Poland
221;Individual;Online Event;90;Female;709;Bielsko-Bia³a; Poland
222;Individual;Online Event;67;Male;258;£ódŸ; Poland
223;Individual;Online Event;39;Male;543;Sanok; Poland
224;Organization;Online Event;;;336;Chrzanów; Poland
225;Individual;Partnership;65;Female;258;£ódŸ; Poland
226;Organization;Partnership;;;502;Kluczbork; Poland
227;Individual;Online Event;35;Male;665;Tarnowskie Góry; Poland
228;Individual;Online Event;53;Male;796;Gi¿ycko; Poland
229;Individual;Online Event;37;Female;629;Wejherowo; Poland
230;Organization;Online Event;;;416;M³awa; Poland
231;Individual;Direct Mail;42;Male;348;Zakopane; Poland
232;Organization;Direct Mail;;;957;Ko³obrzeg; Poland
233;Individual;Social Media;32;Female;881;Swarzêdz; Poland
234;Individual;Direct Mail;69;Female;430;P³oñsk; Poland
235;Individual;Online Event;89;Female;402;Otwock; Poland
236;Organization;Direct Mail;;;695;Czerwionka-Leszczyny; Poland
237;Individual;Partnership;52;Male;512;Opole; Poland
238;Individual;Online Event;60;Male;737;Ostrowiec Œwiêtokrzyski; Poland
239;Individual;Online Event;19;Male;886;Turek; Poland
240;Individual;Online Event;63;Male;263;Zgierz; Poland
241;Organization;Partnership;;;694;Katowice; Poland
242;Organization;Direct Mail;;;335;Oœwiêcim; Poland
243;Individual;Direct Mail;33;Male;678;Miko³ów; Poland
244;Individual;Partnership;68;Male;580;£om¿a; Poland
245;Organization;Direct Mail;;;972;Police; Poland
246;Individual;Online Event;49;Male;490;Kêdzierzyn-KoŸle; Poland
247;Organization;Direct Mail;;;125;Toruñ; Poland
248;Individual;Social Media;30;Male;217;¯ary; Poland
249;Individual;Social Media;20;Female;396;Piaseczno; Poland
250;Individual;In-Person Event;76;Female;796;Gi¿ycko; Poland
251;Organization;Online Event;;;1006;Koszalin; Poland
252;Individual;Partnership;51;Female;677;Wodzis³aw Œl¹ski; Poland
253;Organization;Direct Mail;;;216;Nowa Sól; Poland
254;Individual;In-Person Event;43;Female;264;Be³chatów; Poland
255;Individual;In-Person Event;20;Female;542;Jaros³aw; Poland
256;Individual;Direct Mail;25;Female;416;M³awa; Poland
257;Organization;Partnership;;;536;Dêbica; Poland
258;Individual;Partnership;23;Male;167;Kraœnik; Poland
259;Organization;Direct Mail;;;347;Gorlice; Poland
260;Individual;Direct Mail;38;Male;57;Bielawa; Poland
261;Individual;Online Event;28;Male;709;Bielsko-Bia³a; Poland
262;Individual;Direct Mail;63;Female;702;Olsztyn; Poland
263;Individual;Online Event;47;Female;702;Olsztyn; Poland
264;Organization;Direct Mail;;;669;Bêdzin; Poland
265;Individual;Online Event;32;Male;544;Jas³o; Poland
266;Organization;Partnership;;;791;Ostróda; Poland
267;Individual;Online Event;29;Male;496;Nysa; Poland
268;Individual;Online Event;86;Male;428;Wyszków; Poland
269;Individual;Direct Mail;53;Male;119;Brodnica; Poland
270;Individual;In-Person Event;79;Female;182;Lubartów; Poland
271;Individual;Direct Mail;85;Female;864;Luboñ; Poland
272;Organization;Online Event;;;692;¯ywiec; Poland
273;Individual;In-Person Event;83;Female;402;Otwock; Poland
274;Individual;In-Person Event;63;Male;883;Œrem; Poland
275;Individual;Direct Mail;81;Male;88;Wa³brzych; Poland
276;Organization;Online Event;;;56;Zgorzelec; Poland
277;Organization;Online Event;;;882;Krotoszyn; Poland
278;Organization;Partnership;;;544;Jas³o; Poland
279;Individual;Social Media;23;Female;536;Dêbica; Poland
280;Individual;Direct Mail;21;Male;665;Tarnowskie Góry; Poland
281;Organization;Direct Mail;;;629;Wejherowo; Poland
282;Individual;Direct Mail;73;Female;664;¯ory; Poland
283;Individual;Partnership;52;Female;554;Rzeszów; Poland
284;Individual;Social Media;32;Male;59;Œwiebodzice; Poland
285;Individual;Direct Mail;67;Female;502;Kluczbork; Poland
286;Individual;Social Media;59;Female;345;Bochnia; Poland
287;Individual;Direct Mail;90;Female;267;Skierniewice; Poland
288;Individual;Direct Mail;24;Male;705;Sosnowiec; Poland
289;Individual;Direct Mail;62;Male;367;Tarnów; Poland
290;Organization;Partnership;;;544;Jas³o; Poland
291;Organization;Online Event;;;158;Bia³a Podlaska; Poland
292;Individual;Partnership;78;Male;685;Czechowice-Dziedzice; Poland
293;Individual;Direct Mail;54;Female;166;Lublin; Poland
294;Organization;Online Event;;;643;Reda; Poland
295;Individual;Direct Mail;22;Male;882;Krotoszyn; Poland
296;Organization;Social Media;;;677;Wodzis³aw Œl¹ski; Poland
297;Individual;Partnership;73;Female;217;¯ary; Poland
298;Organization;Direct Mail;;;138;W³oc³awek; Poland
299;Individual;Direct Mail;41;Male;973;Wa³cz; Poland
300;Individual;Direct Mail;50;Male;171;£uków; Poland
301;Individual;Direct Mail;18;Female;737;Ostrowiec Œwiêtokrzyski; Poland
302;Individual;Social Media;19;Male;717;Ruda Œl¹ska; Poland
303;Individual;Direct Mail;80;Female;48;O³awa; Poland
304;Organization;Social Media;;;239;Zielona Góra; Poland
305;Individual;Social Media;52;Female;259;Pabianice; Poland
306;Individual;Direct Mail;57;Male;964;Szczecinek; Poland
307;Individual;Partnership;87;Female;138;W³oc³awek; Poland
308;Individual;Direct Mail;24;Male;699;£aziska Górne; Poland
309;Individual;Partnership;57;Male;662;Mys³owice; Poland
310;Individual;Partnership;50;Male;120;Œwiecie; Poland
311;Individual;Direct Mail;57;Male;171;£uków; Poland
312;Individual;Direct Mail;40;Female;216;Nowa Sól; Poland
313;Individual;Direct Mail;53;Male;842;Ostrów Wielkopolski; Poland
314;Individual;Direct Mail;75;Female;399;Ostro³êka; Poland
315;Organization;Online Event;;;312;Kraków; Poland
316;Organization;Social Media;;;883;Œrem; Poland
317;Individual;Direct Mail;24;Female;528;Mielec; Poland
318;Individual;Direct Mail;40;Female;269;Kutno; Poland
319;Individual;Partnership;45;Female;700;Czêstochowa; Poland
320;Organization;Partnership;;;57;Bielawa; Poland
321;Individual;Direct Mail;51;Female;973;Wa³cz; Poland
322;Organization;Online Event;;;720;Tychy; Poland
323;Individual;Direct Mail;58;Female;426;Nowy Dwór Mazowiecki; Poland
324;Organization;Partnership;;;662;Mys³owice; Poland
325;Individual;Partnership;27;Male;138;W³oc³awek; Poland
326;Individual;Partnership;60;Female;61;Jawor; Poland
327;Individual;Direct Mail;55;Male;113;Bydgoszcz; Poland
328;Individual;Direct Mail;24;Male;697;Lubliniec; Poland
329;Organization;Direct Mail;;;426;Nowy Dwór Mazowiecki; Poland
330;Individual;Partnership;47;Male;657;Jaworzno; Poland
331;Individual;Direct Mail;63;Male;120;Œwiecie; Poland
332;Individual;Direct Mail;79;Male;429;Piastów; Poland
333;Individual;Direct Mail;35;Female;443;Radom; Poland
334;Organization;Online Event;;;844;Gniezno; Poland
335;Individual;Partnership;84;Male;347;Gorlice; Poland
336;Organization;Direct Mail;;;723;Chorzów; Poland
337;Individual;Direct Mail;78;Female;542;Jaros³aw; Poland
338;Individual;Direct Mail;56;Male;625;Rumia; Poland
339;Individual;Partnership;88;Male;589;Bielsk Podlaski; Poland
340;Individual;Partnership;85;Female;120;Œwiecie; Poland
341;Individual;Partnership;65;Female;534;Krosno; Poland
342;Individual;Direct Mail;34;Male;884;Jarocin; Poland
343;Individual;Partnership;26;Male;645;Koœcierzyna; Poland
344;Individual;Direct Mail;43;Female;881;Swarzêdz; Poland
345;Individual;Direct Mail;40;Female;544;Jas³o; Poland
346;Organization;Direct Mail;;;700;Czêstochowa; Poland
347;Individual;Direct Mail;46;Female;844;Gniezno; Poland
348;Individual;Partnership;27;Male;281;Wieluñ; Poland
349;Individual;Partnership;65;Male;99;Inowroc³aw; Poland
350;Individual;Direct Mail;75;Male;390;Pruszków; Poland
351;Individual;Partnership;55;Male;58;K³odzko; Poland
352;Individual;Partnership;33;Female;138;W³oc³awek; Poland
353;Individual;Partnership;82;Female;431;Ostrów Mazowiecka; Poland
354;Individual;Partnership;88;Female;530;Stalowa Wola; Poland
355;Individual;Direct Mail;33;Male;268;Radomsko; Poland
356;Organization;Direct Mail;;;707;Gliwice; Poland
357;Organization;Social Media;;;658;Jastrzêbie-Zdrój; Poland
358;Individual;Direct Mail;78;Male;14;Wroc³aw; Poland
359;Organization;Direct Mail;;;395;Legionowo; Poland
360;Individual;Direct Mail;45;Female;630;Starogard Gdañski; Poland
361;Individual;Partnership;79;Male;281;Wieluñ; Poland
362;Organization;Online Event;;;637;Sopot; Poland
363;Individual;Social Media;24;Male;885;W¹growiec; Poland
364;Organization;Online Event;;;14;Wroc³aw; Poland
365;Organization;Direct Mail;;;699;£aziska Górne; Poland
366;Individual;Direct Mail;54;Female;886;Turek; Poland
367;Individual;Partnership;43;Male;964;Szczecinek; Poland
368;Individual;Social Media;72;Male;14;Wroc³aw; Poland
369;Individual;Direct Mail;76;Female;695;Czerwionka-Leszczyny; Poland
370;Individual;Direct Mail;45;Male;497;Brzeg; Poland
371;Individual;Direct Mail;36;Male;502;Kluczbork; Poland
372;Organization;Partnership;;;675;Zawiercie; Poland
373;Individual;Partnership;67;Male;628;Gdañsk; Poland
374;Individual;Direct Mail;40;Non-binary;1;Legnica; Poland
375;Individual;Direct Mail;59;Female;744;Skar¿ysko-Kamienna; Poland
376;Individual;Direct Mail;83;Male;864;Luboñ; Poland
377;Individual;Online Event;80;Male;269;Kutno; Poland
378;Organization;Online Event;;;713;Zabrze; Poland
379;Organization;Social Media;;;57;Bielawa; Poland
380;Individual;Direct Mail;47;Male;629;Wejherowo; Poland
381;Individual;Direct Mail;70;Female;490;Kêdzierzyn-KoŸle; Poland
382;Individual;Direct Mail;46;Male;953;Stargard Szczeciñski; Poland
383;Individual;Direct Mail;57;Male;138;W³oc³awek; Poland
384;Individual;Partnership;87;Male;257;Piotrków Trybunalski; Poland
385;Individual;Direct Mail;46;Male;686;Cieszyn; Poland
386;Individual;Direct Mail;68;Female;429;Piastów; Poland
387;Individual;Direct Mail;31;Female;264;Be³chatów; Poland
388;Organization;Direct Mail;;;312;Kraków; Poland
389;Organization;Social Media;;;502;Kluczbork; Poland
390;Organization;Online Event;;;554;Rzeszów; Poland
391;Organization;Partnership;;;578;Suwa³ki; Poland
392;Individual;Partnership;41;Female;630;Starogard Gdañski; Poland
393;Organization;Partnership;;;744;Skar¿ysko-Kamienna; Poland
394;Individual;Social Media;43;Female;413;Wo³omin; Poland
395;Individual;Social Media;25;Female;430;P³oñsk; Poland
396;Individual;Direct Mail;36;Male;707;Gliwice; Poland
397;Individual;Partnership;74;Female;416;M³awa; Poland
398;Organization;Social Media;;;629;Wejherowo; Poland
399;Individual;Direct Mail;45;Male;267;Skierniewice; Poland
400;Organization;Partnership;;;799;Bartoszyce; Poland
401;Individual;Social Media;57;Female;885;W¹growiec; Poland
402;Individual;Direct Mail;30;Male;700;Czêstochowa; Poland
403;Organization;Partnership;;;46;Boles³awiec; Poland
404;Individual;Social Media;68;Female;634;Kwidzyn; Poland
405;Organization;Partnership;;;744;Skar¿ysko-Kamienna; Poland
406;Individual;Social Media;33;Female;723;Chorzów; Poland
407;Individual;Direct Mail;31;Female;263;Zgierz; Poland
408;Individual;Direct Mail;35;Female;838;Pi³a; Poland
409;Individual;Partnership;73;Female;888;Koœcian; Poland
410;Individual;Partnership;29;Male;633;Chojnice; Poland
411;Organization;Partnership;;;271;Sieradz; Poland
412;Individual;Direct Mail;35;Female;412;¯yrardów; Poland
413;Individual;Partnership;32;Male;638;Pruszcz Gdañski; Poland
414;Individual;Partnership;84;Female;675;Zawiercie; Poland
415;Individual;Partnership;63;Female;528;Mielec; Poland
416;Individual;Partnership;37;Male;396;Piaseczno; Poland
417;Individual;Direct Mail;90;Male;336;Chrzanów; Poland
418;Individual;Direct Mail;40;Male;542;Jaros³aw; Poland
419;Individual;In-Person Event;59;Male;182;Lubartów; Poland
420;Individual;Social Media;80;Male;431;Ostrów Mazowiecka; Poland
421;Individual;Social Media;61;Male;796;Gi¿ycko; Poland
422;Individual;Partnership;68;Female;964;Szczecinek; Poland
423;Individual;Online Event;65;Male;543;Sanok; Poland
424;Individual;Partnership;78;Female;883;Œrem; Poland
425;Organization;Social Media;;;713;Zabrze; Poland
426;Organization;Partnership;;;166;Lublin; Poland
427;Individual;Direct Mail;26;Male;335;Oœwiêcim; Poland
428;Organization;Direct Mail;;;885;W¹growiec; Poland
429;Organization;Social Media;;;217;¯ary; Poland
430;Individual;Partnership;73;Male;61;Jawor; Poland
431;Individual;Direct Mail;54;Female;684;Knurów; Poland
432;Individual;Partnership;24;Male;843;Konin; Poland
433;Organization;Partnership;;;697;Lubliniec; Poland
434;Organization;Partnership;;;15;G³ogów; Poland
435;Organization;Partnership;;;259;Pabianice; Poland
436;Individual;Direct Mail;79;Male;216;Nowa Sól; Poland
437;Organization;Partnership;;;888;Koœcian; Poland
438;Individual;Partnership;29;Female;974;Bia³ogard; Poland
439;Organization;Partnership;;;578;Suwa³ki; Poland
440;Individual;Direct Mail;70;Female;790;I³awa; Poland
441;Organization;Partnership;;;57;Bielawa; Poland
442;Individual;Direct Mail;29;Female;337;Nowy Targ; Poland
443;Individual;Partnership;19;Male;426;Nowy Dwór Mazowiecki; Poland
444;Individual;Partnership;47;Male;429;Piastów; Poland
445;Individual;Online Event;18;Female;468;Warszawa; Poland
446;Individual;Partnership;47;Male;822;Elbl¹g; Poland
447;Individual;Social Media;44;Male;799;Bartoszyce; Poland
448;Individual;Social Media;37;Male;468;Warszawa; Poland
449;Individual;Direct Mail;30;Female;686;Cieszyn; Poland
450;Individual;In-Person Event;57;Male;715;Bytom; Poland
451;Organization;Direct Mail;;;799;Bartoszyce; Poland
452;Individual;Direct Mail;77;Male;15;G³ogów; Poland
453;Individual;Partnership;55;Female;262;Tomaszów Mazowiecki; Poland
454;Individual;Social Media;52;Male;644;Gdynia; Poland
455;Individual;Online Event;89;Male;797;Kêtrzyn; Poland
456;Organization;Social Media;;;401;Marki; Poland
457;Individual;Direct Mail;30;Female;62;Nowa Ruda; Poland
458;Individual;Social Media;26;Female;402;Otwock; Poland
459;Organization;Direct Mail;;;750;Sandomierz; Poland
460;Individual;Direct Mail;46;Female;684;Knurów; Poland
461;Individual;Direct Mail;32;Female;257;Piotrków Trybunalski; Poland
462;Organization;Partnership;;;845;Leszno; Poland
463;Individual;Partnership;49;Male;167;Kraœnik; Poland
464;Individual;Social Media;80;Female;530;Stalowa Wola; Poland
465;Individual;Direct Mail;40;Male;638;Pruszcz Gdañski; Poland
466;Individual;Direct Mail;32;Female;696;Pszczyna; Poland
467;Individual;Online Event;49;Male;630;Starogard Gdañski; Poland
468;Individual;Direct Mail;86;Female;263;Zgierz; Poland
469;Organization;Partnership;;;694;Katowice; Poland
470;Individual;Direct Mail;40;Male;844;Gniezno; Poland
471;Organization;Partnership;;;972;Police; Poland
472;Individual;Online Event;59;Male;272;Zduñska Wola; Poland
473;Organization;Partnership;;;46;Boles³awiec; Poland
474;Individual;Partnership;72;Male;693;Myszków; Poland
